id_region;region;federal_district;population
4;Республика Алтай;Сибирский;210769
60;Псковская область;Северо-Западный;587786
23;Краснодарский край;Южный;5819345
9;Карачаево-Черкесская Республика;Северо-Кавказский;468444
7;Кабардино-Балкарская Республика;Северо-Кавказский;903266
15;Республика Северная Осетия — Алания;Северо-Кавказский;680748
6;Республика Ингушетия;Северо-Кавказский;519078
20;Чеченская Республика;Северо-Кавказский;1533209
5;Республика Дагестан;Северо-Кавказский;3209781
51;Мурманская область;Северо-Западный;658698
10;Республика Карелия;Северо-Западный;527880
47;Ленинградская область;Северо-Западный;2023767
39;Калининградская область;Северо-Западный;1032323
67;Смоленская область;Центральный;873041
32;Брянская область;Центральный;1152505
46;Курская область;Центральный;1067034
31;Белгородская область;Центральный;1514527
36;Воронежская область;Центральный;2285282
61;Ростовская область;Южный;4164547
3;Республика Бурятия;Сибирский;974628
17;Республика Тыва;Сибирский;337271
75;Забайкальский край;Сибирский;992429
28;Амурская область;Дальневосточный;756198
79;Еврейская автономная область;Дальневосточный;147458
27;Хабаровский край;Дальневосточный;1284090
25;Приморский край;Дальневосточный;1820076
72;Тюменская область;Уральский;1608494
45;Курганская область;Уральский;761586
55;Омская область;Сибирский;1832064
54;Новосибирская область;Сибирский;2794266
74;Челябинская область;Уральский;3407145
22;Алтайский край;Сибирский;2130950
56;Оренбургская область;Приволжский;1841377
64;Саратовская область;Приволжский;2404944
30;Астраханская область;Южный;950557
34;Волгоградская область;Южный;2470057
82;Республика Крым;Южный;1916805
49;Магаданская область;Дальневосточный;134315
65;Сахалинская область;Дальневосточный;460535
92;Севастополь;Южный;558273
89;Ямало-Ненецкий автономный округ;Уральский;512387
83;Ненецкий автономный округ;Северо-Западный;41383
14; Республика Саха (Якутия);Дальневосточный;997565
78;Санкт-Петербург;Северо-Западный;5600044
29;Архангельская область;Северо-Западный;964304
24;Красноярский край;Сибирский;2845545
8;Республика Калмыкия;Южный;264483
41;Камчатский край;Дальневосточный;288730
2;Республика Башкортостан;Приволжский;4077600
66;Свердловская область;Уральский;4239161
86;Ханты-Мансийский автономный округ — Югра;Уральский;1730353
48;Липецкая область;Центральный;1126263
68;Тамбовская область;Центральный;966250
70;Томская область;Сибирский;1052106
16;Республика Татарстан;Приволжский;4001625
73;Ульяновская область;Приволжский;1181006
58;Пензенская область;Приволжский;1246609
42;Кемеровская область;Сибирский;2568238
57;Орловская область;Центральный;700276
38;Иркутская область;Сибирский;2344360
19;Республика Хакасия;Сибирский;530233
13;Республика Мордовия;Приволжский;771373
40;Калужская область;Центральный;1070853
44;Костромская область;Центральный;571900
76;Ярославская область;Центральный;1194605
33;Владимирская область;Центральный;1325510
62;Рязанская область;Центральный;1088918
37;Ивановская область;Центральный;914725
52;Нижегородская область;Приволжский;3081817
71;Тульская область;Центральный;1481471
21;Чувашская Республика;Приволжский;1173177
35;Вологодская область;Северо-Западный;1128782
53;Новгородская область;Северо-Западный;575926
69;Тверская область;Центральный;1211183
50;Московская область;Центральный;8591736
77;Москва;Центральный;13104177
12;Республика Марий Эл;Приволжский;672321
43;Кировская область;Приволжский;1138112
18;Удмуртская Республика;Приволжский;1442251
11;Республика Коми;Северо-Западный;726434
59;Пермский край;Приволжский;2508352
63;Самарская область;Приволжский;3142683
26;Ставропольский край;Северо-Кавказский;2891204
1;Республика Адыгея;Южный;497985
87;Чукотский автономный округ;Дальневосточный;47840
